;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
11502;4510625-0;"A44 / Durchlass ""Tiefenbach""";Witten;1,8;388291,0;5702139,0;*O:;A;44
11503;4510627-1;"A44 / Gem.Str.""Zur Hockeneicke""/A44 / Gem.Str.""Zur Hockeneicke"", FR Bochum";Dortmund;2,8;389258,0;5702471,0;*O:;A;44
11504;4510627-2;"A44 / Gem.Str.""Zur Hockeneicke""/A44 / Gem.Str.""Zur Hockeneicke"", FR Dortmund";Dortmund;2,8;389282,0;5702459,0;*O:;A;44
11505;4510628-0;"A44 / Durchlass ""Höfelbach""";Dortmund;2,2;389403,0;5702511,0;*O:;A;44
11506;4510629-1;"A44 / Gem.Str. ""Menglinghauser Str.""/A44 / Gem.Str., Parallelfahrbahn FR Bochum";Dortmund;2,7;389491,0;5702569,0;*O:;A;44
11507;4510629-2;"A44 / Gem.Str. ""Menglinghauser Str.""/A44 / Gem.Str., Hauptfahrbahn FR Bochum";Dortmund;2,5;389523,0;5702555,0;*O:;A;44
11508;4510629-3;"A44 / Gem.Str. ""Menglinghauser Str.""/A44 / Gem.Str., Hauptfahrbahn FR Dortmund";Dortmund;2,5;389523,0;5702555,0;*O:;A;44
11509;4510629-4;"A44 / Gem.Str. ""Menglinghauser Str.""/A44 / Gem.Str., Parallelfahrbahn FR Dortmund";Dortmund;2,9;389504,0;5702534,0;*O:;A;44
11510;4510631-0;"A44 / Tangentialfahrbahn ""Menglinghauser Str.""";Dortmund;2,5;389465,0;5702591,0;*O:;A;44
11511;4510632-1;A45 / A44 -AK Dortmund/Witten-/A45 / A44, Parallelfahrbahn FR Frankfurt a.M.;Dortmund;2,8;389744,0;5702603,0;*O:;A;45
11512;4510632-2;A45 / A44 -AK Dortmund/Witten-/A45 / A44, Hauptfahrbahn FR Frankfurt a.M.;Dortmund;2,8;389763,0;5702608,0;*O:;A;45
11513;4510632-3;A45 / A44 -AK Dortmund/Witten-/A45 / A44, Hauptfahrbahn FR Dortmund;Dortmund;2,8;389751,0;5702644,0;*O:;A;45
11514;4510632-4;A45 / A44 -AK Dortmund/Witten-/A45 / A44, Parallelfahrbahn FR Dortmund;Dortmund;2,5;389787,0;5702617,0;*O:;A;45
